2024-05-30 09:06:29.421 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [healthEndpointGroupsBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-05-30 15:55:32.547 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "net.maku.intelligence_bank.commons.Arrangement.model.entity.ArrangementEntryEntity"
2024-05-30 15:55:33.297 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "net.maku.intelligence_bank.material_unit.model.entity.MaterialUnitEntity"
2024-05-30 16:04:51.186 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@6e5076c9 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 16:22:42.315 [http-nio-8080-exec-22] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@4f5d7091 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 16:22:47.322 [http-nio-8080-exec-22] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@36a4ac08 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 16:37:13.940 [http-nio-8080-exec-16] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@4edb11ac (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 16:37:14.020 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@440b7687 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:18:24.252 [http-nio-8080-exec-18] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@166c4b5c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:18:29.266 [http-nio-8080-exec-18] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@1efe2e46 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:35:14.818 [http-nio-8080-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@64846afe (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:35:19.831 [http-nio-8080-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@69da987a (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:54:56.166 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@5cf05ae (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 17:55:01.174 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@3b7fba96 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 18:02:09.145 [http-nio-8080-exec-17] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@5b079883 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 18:02:11.221 [http-nio-8080-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@432ecc8f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 18:02:14.147 [http-nio-8080-exec-17] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@2170be7 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 18:14:38.639 [http-nio-8080-exec-17] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@6748ba61 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2024-05-30 18:14:43.652 [http-nio-8080-exec-17] WARN  com.zaxxer.hikari.pool.PoolBase - master - Failed to validate connection org.postgresql.jdbc.PgConnection@bdc73b2 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
